ID,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Education
FLP00207,214000,12,1,Female,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00208,157000,20,7,Male,0,0,1,0,0,1,0,0,0,0,PhD
FLP00209,69000,5,1,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00210,180000,15,2,NA,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00211,142000,1,1,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00212,140000,15,0,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00213,103000,15,3,Male,0,0,0,1,0,0,1,0,0,0,Highschool
FLP00214,106000,5,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00215,120000,5,2,Male,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00216,275000,21,6,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00217,238000,11,5,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00218,130000,2,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00219,315000,11,9,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00220,142000,5,0,NA,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00221,143000,3,2,NA,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00222,280000,15,6,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00223,151000,8,0,Male,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00224,151000,8,0,Male,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00225,150000,15,1,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00226,77000,4,4,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00227,158000,12,3,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00228,161000,14,3,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00229,274000,22,6,Male,0,0,0,1,0,0,1,0,0,0,Highschool
